,MSSubClass,MSZoning,LotShape,LandContour,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,Foundation,GarageType,GarageCond,SaleType,SaleCondition,LotFrontage,LotArea,OverallQual,MasVnrArea,ExterQual,BsmtQual,TotalBsmtSF,HeatingQC,CentralAir,GrLivArea,KitchenQual,TotRmsAbvGrd,FireplaceQu,GarageFinish,GarageCars,GarageQual,SalePrice,Total_OutdoorSF,Baths,Age,AgeRemodAdd,AgeGarage
13,0,3,0,3,4,5,2,0,2,1,12,13,3,2,1,5,6,5,91.0,10652,7,306.0,4,4,1494,5,1,1494,4,7,4,2,3,3,279500,193,2,1,0,1.0
14,0,3,0,3,0,12,2,0,2,3,8,8,1,1,1,5,8,4,76.46236559139786,10920,6,212.0,3,3,1253,3,1,1253,3,5,2,2,1,3,157000,389,3,48,48,48.0
15,3,4,3,3,0,3,2,0,1,1,13,14,2,0,5,5,8,4,51.0,6120,7,0.0,3,3,832,5,1,854,3,5,0,1,2,3,132000,160,1,78,6,16.0
16,0,3,0,3,1,12,2,0,2,1,13,14,1,1,1,5,8,4,76.46236559139786,11241,6,180.0,3,3,1004,5,1,1004,3,5,3,3,2,3,149000,0,2,40,40,40.0
17,10,3,3,3,4,19,2,2,2,1,8,8,2,3,4,5,8,4,72.0,10791,4,0.0,3,0,0,3,1,1296,3,6,0,1,2,3,90000,0,2,39,39,39.0
18,0,3,3,3,4,20,5,0,2,1,12,13,2,2,5,5,8,4,66.0,13695,5,0.0,3,3,1114,5,1,1114,4,6,0,1,2,3,159000,102,3,4,4,4.0
19,0,3,3,3,4,12,2,0,2,3,3,10,2,1,1,5,0,0,70.0,7560,5,0.0,3,3,1029,3,1,1339,3,6,0,1,1,3,139000,0,1,51,44,51.0
20,5,3,0,3,0,16,2,0,5,1,12,13,1,2,3,5,6,5,101.0,14215,8,380.0,4,5,1158,5,1,2376,4,9,4,2,3,3,325300,394,4,1,0,1.0
21,3,4,3,0,4,9,2,0,1,1,13,14,2,2,1,5,8,4,57.0,7449,7,0.0,3,3,637,5,1,1108,4,6,4,1,1,3,139400,205,1,77,57,77.0
22,0,3,3,3,4,5,2,0,2,3,12,13,1,2,1,5,8,4,75.0,9742,8,281.0,4,4,1777,5,1,1795,4,7,4,2,2,3,230000,330,2,6,6,6.0
23,11,4,3,3,4,10,2,4,2,1,5,5,2,2,1,5,8,4,44.0,4224,5,0.0,3,4,1040,3,1,1060,3,6,3,1,2,3,129900,210,2,31,31,31.0
24,0,3,0,3,4,19,2,0,2,1,9,10,2,1,1,5,8,4,74.4375,8246,5,0.0,3,3,1060,5,1,1060,4,6,3,1,1,3,154000,496,2,42,9,42.0
25,0,3,3,3,0,16,2,0,2,1,12,13,3,2,1,5,8,4,110.0,14230,8,640.0,4,4,1566,5,1,1600,4,7,4,2,3,3,256300,56,2,2,2,2.0
26,0,3,3,3,0,12,2,0,2,1,13,14,2,1,5,5,8,4,60.0,7200,5,0.0,3,3,900,3,1,900,4,5,0,1,2,3,134800,254,2,59,10,5.0
27,0,3,3,3,4,16,2,0,2,1,12,13,3,2,1,5,8,4,98.0,11478,8,200.0,4,5,1704,5,1,1704,4,7,4,2,3,3,306000,50,3,3,2,2.0
28,0,3,0,3,1,12,2,0,2,1,8,8,2,1,1,5,8,4,47.0,16321,5,0.0,3,3,1484,3,1,1600,3,6,4,2,1,3,207500,546,2,49,9,49.0
29,1,4,0,3,4,3,1,0,2,1,8,8,2,0,5,5,8,4,60.0,6324,4,0.0,3,3,520,2,0,520,2,4,0,1,1,2,68500,136,1,81,58,88.0
30,6,0,3,3,4,9,1,0,5,2,3,3,2,0,5,1,8,4,50.0,8500,4,0.0,3,3,649,3,0,1317,3,6,0,1,1,3,40000,226,1,88,58,88.0
31,0,3,0,3,1,19,2,0,2,1,6,6,2,1,1,5,8,4,74.4375,8544,5,0.0,3,3,1228,4,1,1228,4,6,0,1,1,3,149350,65,2,42,2,42.0
32,0,3,3,3,0,5,2,0,2,1,12,13,2,2,1,5,8,4,85.0,11049,8,0.0,4,5,1234,5,1,1234,4,7,0,2,2,3,179900,30,2,1,1,1.0
33,0,3,0,3,4,12,2,0,2,3,3,3,2,1,1,5,8,4,70.0,10552,5,0.0,3,3,1398,4,1,1700,4,6,4,2,2,3,165500,38,3,51,51,51.0
34,11,3,3,3,4,16,2,4,2,3,8,8,1,2,1,5,8,4,60.0,7313,9,246.0,5,5,1561,5,1,1561,5,6,4,3,2,3,277500,250,3,2,2,2.0
35,5,3,3,3,4,16,2,0,5,1,12,13,3,2,3,5,8,4,108.0,13418,8,132.0,4,5,1117,5,1,2452,4,9,4,3,3,3,309000,145,4,2,1,2.0
36,0,3,3,3,0,5,2,0,2,1,12,13,2,2,1,5,8,4,112.0,10859,5,0.0,3,4,1097,5,1,1097,3,6,0,1,2,3,145000,456,2,15,14,14.0
37,0,3,3,3,4,12,2,0,2,3,13,14,1,1,1,5,8,4,74.0,8532,5,650.0,3,3,1297,4,1,1297,3,5,3,3,2,3,153000,0,2,55,19,55.0
38,0,3,3,3,4,12,2,0,2,1,12,13,2,1,5,5,8,0,68.0,7922,5,0.0,3,3,1057,3,1,1057,4,5,0,1,1,3,109000,52,2,57,3,57.0
39,10,3,3,3,4,7,2,2,2,1,0,10,2,2,6,3,8,1,65.0,6040,4,0.0,3,0,0,3,0,1152,2,6,0,0,0,0,82000,0,2,53,53,0.0
40,0,3,3,3,4,12,2,0,2,1,13,14,1,1,1,5,8,0,84.0,8658,6,101.0,3,3,1088,5,1,1324,3,6,3,2,2,3,160000,138,2,41,41,41.0
41,0,3,3,3,4,23,2,0,2,1,12,13,2,1,1,5,8,4,115.0,16905,5,0.0,3,3,1350,4,1,1328,3,5,4,2,1,3,170000,104,3,48,48,48.0
42,9,3,0,3,1,20,2,0,6,1,6,6,2,1,1,2,8,4,71.5,9180,5,0.0,3,4,840,4,1,884,4,5,0,2,2,3,144000,240,2,24,24,24.0
43,0,3,0,3,1,5,2,0,2,3,12,13,2,1,5,5,8,4,71.68253968253968,9200,5,0.0,3,4,938,3,1,938,3,5,0,1,1,3,130250,145,2,33,28,31.0
44,0,3,3,3,4,12,2,0,2,1,3,14,2,1,1,5,8,4,70.0,7945,5,0.0,3,3,1150,5,1,1150,3,6,0,2,1,3,141000,0,2,47,47,47.0
45,11,3,3,3,4,16,2,4,2,3,8,8,1,2,1,5,8,4,61.0,7658,9,412.0,5,5,1752,5,1,1752,5,6,4,2,2,3,319900,278,3,5,5,5.0
46,4,3,0,3,1,11,2,0,0,1,12,13,2,2,1,5,8,0,48.0,12822,7,0.0,4,5,1434,5,1,2149,4,6,5,2,2,3,239686,409,3,6,6,6.0
47,0,1,3,3,4,21,2,0,2,1,12,13,2,2,1,5,8,4,84.0,11096,8,0.0,4,4,1656,5,1,1656,4,7,0,2,3,3,249700,146,2,1,1,1.0
48,14,4,3,3,4,17,2,1,5,1,8,8,2,0,6,3,6,5,33.0,4456,4,0.0,3,3,736,4,1,1452,3,8,0,0,0,0,113000,102,2,89,1,0.0
49,0,3,3,3,4,19,2,0,2,1,6,6,2,1,1,5,8,4,66.0,7742,5,0.0,3,3,955,5,1,955,3,6,0,1,1,3,127000,0,2,41,41,41.0
50,5,3,1,3,0,8,2,0,5,1,12,13,2,2,1,5,8,4,79.87755102040816,13869,6,0.0,3,4,794,4,1,1470,3,6,0,3,2,3,177000,75,3,10,10,10.0
51,4,4,3,3,4,3,2,0,0,1,13,14,2,2,5,5,8,4,52.0,6240,6,0.0,3,3,816,3,1,1176,3,6,4,1,2,3,114500,112,1,72,56,21.0
52,10,4,1,0,0,9,8,2,2,1,13,14,2,1,4,5,8,4,110.0,8472,5,0.0,2,4,816,3,0,816,3,5,0,1,2,3,110000,106,2,47,47,47.0
53,0,3,0,2,4,24,2,0,2,1,14,15,2,1,1,5,8,4,68.0,50271,9,0.0,4,5,1842,4,1,1842,4,5,4,3,3,3,385000,929,3,25,19,25.0
54,8,3,3,0,4,12,2,0,7,1,8,8,2,1,5,5,8,4,60.0,7134,5,0.0,3,3,384,3,1,1360,3,6,3,1,2,3,130000,50,1,52,52,45.0
55,0,3,0,3,4,12,2,0,2,1,6,10,1,1,1,5,8,4,100.0,10175,6,272.0,3,3,1425,4,1,1425,3,7,4,2,2,3,180500,407,2,44,44,44.0
56,12,1,3,3,4,21,2,3,5,1,8,8,1,2,1,5,8,0,24.0,2645,8,456.0,4,4,970,5,1,1739,4,7,0,3,2,3,172500,115,4,10,9,10.0
57,5,3,0,3,0,5,2,0,5,1,12,13,2,2,1,5,8,4,89.0,11645,7,0.0,4,4,860,5,1,1720,4,7,0,2,2,3,196500,70,3,2,2,2.0
58,5,3,1,1,1,22,2,0,5,3,12,13,1,2,3,5,6,5,66.0,13682,10,1031.0,5,5,1410,5,1,2945,4,10,4,3,3,3,438780,229,4,0,0,0.0
59,0,3,3,0,4,5,2,0,2,1,6,6,2,1,5,5,8,4,60.0,7200,5,0.0,3,3,780,5,1,780,3,4,0,1,1,3,124900,196,1,36,36,35.0
60,0,3,3,3,4,20,5,0,2,1,12,13,2,2,5,5,6,5,63.0,13072,6,0.0,3,4,1158,5,1,1158,4,5,0,1,2,3,158000,50,3,2,2,0.0
61,7,4,3,3,4,9,2,0,4,1,8,8,2,0,5,5,8,4,60.0,7200,5,0.0,3,3,530,3,0,1111,2,6,0,1,1,3,101000,144,1,87,11,72.0
62,11,3,0,3,4,16,2,4,2,1,12,13,3,2,1,5,8,4,44.0,6442,8,178.0,4,4,1370,5,1,1370,4,6,4,2,2,3,202500,169,2,1,1,1.0
63,6,4,0,0,4,17,6,0,5,1,11,12,2,0,5,5,8,4,50.0,10300,7,0.0,3,3,576,4,1,1710,3,9,0,1,2,3,140000,87,2,89,60,20.0
64,5,3,3,3,4,5,2,0,5,1,12,13,1,2,1,5,8,4,71.68253968253968,9375,7,573.0,3,4,1057,5,1,2034,4,8,0,2,2,3,219500,612,4,12,11,11.0
65,5,3,3,3,4,16,2,0,5,1,12,13,1,2,3,5,8,4,76.0,9591,8,344.0,4,5,1143,5,1,2473,4,9,4,2,3,3,317000,343,3,3,2,3.0
66,0,3,3,3,4,12,3,0,2,1,9,10,1,1,1,5,8,4,76.46236559139786,19900,7,287.0,3,4,1947,3,1,2207,3,7,4,2,2,3,180000,301,3,40,21,40.0
67,0,3,0,3,4,5,2,0,2,1,12,13,1,2,1,5,8,4,72.0,10665,7,167.0,4,4,1453,5,1,1479,4,7,0,2,2,3,226000,173,3,4,4,4.0
68,1,4,3,3,0,17,0,0,2,1,8,8,2,1,1,5,8,4,47.0,4608,4,0.0,3,3,747,3,1,747,3,4,0,1,1,3,80000,0,1,65,60,65.0
69,4,3,3,3,0,4,2,0,0,1,3,0,2,1,1,5,8,4,81.0,15593,7,0.0,4,3,1304,3,1,2287,3,7,3,3,2,3,225000,135,2,53,53,53.0
70,0,3,0,3,4,12,2,0,2,1,9,10,1,1,1,5,8,4,95.0,13651,7,1115.0,3,4,2223,5,1,2223,3,8,4,3,2,3,244000,300,3,34,34,34.0
71,0,3,3,3,0,11,2,0,2,1,6,10,2,1,5,5,8,4,69.0,7599,4,0.0,3,3,845,3,1,845,3,4,0,1,2,3,129500,0,2,25,1,20.0
72,5,3,0,3,0,8,2,0,5,1,12,13,1,2,1,5,8,4,74.0,10141,7,40.0,3,4,832,4,1,1718,3,7,3,3,2,3,185000,385,3,11,11,11.0
73,0,3,3,3,4,12,2,0,2,1,13,14,1,1,1,5,8,4,85.0,10200,5,104.0,3,3,1086,4,1,1086,3,6,0,1,2,3,144900,0,2,56,7,21.0
74,4,4,3,3,0,17,2,0,5,2,12,13,2,1,5,5,8,4,60.0,5790,3,0.0,4,2,840,4,0,1605,3,8,0,1,1,3,107400,202,2,95,60,95.0
75,13,4,3,3,4,10,2,3,7,1,5,5,2,1,3,5,8,4,21.0,1596,4,0.0,3,4,462,3,1,988,3,5,0,1,1,3,91000,221,2,36,36,36.0
76,0,3,0,3,4,12,2,0,2,1,12,13,2,1,5,5,8,4,76.46236559139786,8475,4,0.0,3,3,952,5,1,952,3,4,0,1,1,3,135750,0,1,52,52,52.0
77,4,4,3,3,4,3,2,0,0,1,13,14,2,1,5,5,8,4,50.0,8635,5,0.0,3,3,672,3,1,1285,3,6,0,1,1,3,127000,0,2,60,7,60.0
78,10,3,3,3,4,19,2,2,2,3,6,6,2,1,6,3,8,4,72.0,10778,4,0.0,3,3,1768,3,0,1768,3,8,0,0,0,0,136500,0,2,42,42,0.0
79,4,4,3,3,0,17,2,0,5,1,13,14,2,2,5,5,8,4,60.0,10440,5,0.0,3,3,440,4,1,1230,3,5,0,1,2,3,110000,202,2,99,28,43.0
80,5,3,3,3,0,12,2,0,5,1,12,13,1,1,1,5,8,4,100.0,13000,6,576.0,3,4,896,3,1,2142,4,8,4,3,1,3,193500,324,3,41,41,41.0
81,11,4,3,3,2,11,2,4,2,3,12,13,1,2,1,5,8,4,32.0,4500,6,443.0,3,5,1237,5,1,1337,3,5,0,3,2,3,153500,199,3,8,8,8.0
82,0,3,3,3,4,21,2,0,2,1,12,13,3,2,1,5,8,4,78.0,10206,8,468.0,3,4,1563,5,1,1563,4,6,4,2,3,3,245000,243,2,1,1,1.0
83,0,3,0,3,4,12,2,0,2,1,8,8,0,1,5,5,0,4,80.0,8892,5,66.0,3,3,1065,4,1,1065,3,6,0,1,2,3,126500,74,2,47,47,33.0
84,8,3,0,3,4,8,2,0,7,1,6,6,1,2,3,5,8,4,79.87755102040816,8530,7,22.0,3,4,384,4,1,1474,3,7,3,3,2,3,168500,192,3,14,13,14.0
85,5,3,3,3,0,15,2,0,5,3,6,6,1,1,1,5,8,4,121.0,16059,8,284.0,4,4,1288,5,1,2417,4,9,3,1,2,3,260000,209,3,15,14,15.0
86,5,3,1,3,4,8,2,0,5,1,12,13,2,2,3,5,8,4,122.0,11911,6,0.0,4,4,684,5,1,1560,4,6,4,3,2,3,174000,138,3,4,4,4.0
87,12,1,3,3,0,21,2,4,5,1,12,13,3,2,5,5,6,5,40.0,3951,6,76.0,4,4,612,5,1,1224,4,4,0,2,2,3,164500,234,3,0,0,0.0
88,4,0,0,3,0,9,1,0,0,3,9,10,2,1,6,3,3,0,105.0,8470,3,0.0,2,3,1013,3,0,1526,2,6,0,0,0,0,85000,156,1,94,27,0.0
89,0,3,3,3,4,5,2,0,2,1,12,13,2,2,6,3,8,4,60.0,8070,4,0.0,3,4,990,5,1,990,3,5,0,0,0,0,123600,0,2,13,12,0.0
90,0,3,3,3,4,12,2,0,2,1,3,14,2,3,5,5,8,4,60.0,7200,4,0.0,3,0,0,3,1,1040,3,4,0,1,2,3,109900,29,1,56,56,56.0
91,0,3,3,3,4,12,2,0,2,3,6,6,0,1,1,5,8,0,85.0,8500,5,203.0,3,3,1235,3,1,1235,3,6,0,1,2,3,98600,0,1,45,45,45.0
92,1,3,0,1,4,6,2,0,2,1,13,14,2,0,5,5,8,4,80.0,13360,5,0.0,3,4,876,5,1,964,3,5,0,1,2,3,163500,44,2,88,3,88.0
93,14,0,3,3,0,17,2,1,4,3,8,8,2,0,5,5,8,4,60.0,7200,6,0.0,3,3,1214,5,0,2291,3,9,4,1,2,3,133900,99,3,97,9,107.0
94,5,3,0,3,4,5,2,0,5,1,12,13,2,2,1,5,8,4,69.0,9337,6,0.0,3,4,824,5,1,1786,4,7,0,2,2,3,204750,162,4,10,10,10.0
95,5,3,1,3,0,8,2,0,5,1,12,13,1,2,3,5,8,4,79.87755102040816,9765,6,68.0,5,4,680,4,1,1470,3,6,3,3,2,3,185000,295,3,16,16,16.0
96,0,3,0,3,4,5,2,0,2,1,12,13,1,2,1,5,8,4,78.0,10264,7,183.0,4,4,1588,5,1,1588,4,6,0,2,2,3,214000,187,2,7,7,7.0
97,0,3,3,1,4,7,2,0,2,3,6,6,1,1,1,5,8,4,73.0,10921,4,48.0,3,3,960,3,1,960,3,6,0,3,1,3,94750,120,2,42,42,42.0
98,1,3,3,3,0,7,2,0,2,1,13,14,2,0,2,5,0,0,85.0,10625,5,0.0,3,3,458,2,0,835,3,5,0,1,1,2,83000,77,1,90,60,90.0
99,0,3,0,3,4,12,2,0,2,1,9,10,2,1,6,3,8,4,77.0,9320,4,0.0,3,3,950,2,1,1225,3,6,0,0,0,0,128950,352,3,51,51,0.0
100,0,3,0,3,4,14,2,0,2,1,9,10,1,2,1,5,8,4,81.28888888888889,10603,6,28.0,3,3,1610,4,1,1610,4,6,3,2,2,3,205000,236,3,33,9,33.0
101,5,3,3,3,4,20,2,0,5,1,6,6,1,1,1,5,8,4,77.0,9206,6,336.0,4,4,741,3,1,1732,4,7,3,3,2,3,178000,238,3,25,25,25.0
102,10,3,3,0,4,20,2,2,2,1,6,6,2,3,1,5,8,2,64.0,7018,5,0.0,3,0,0,3,1,1535,3,8,0,1,2,3,118964,0,2,30,30,30.0
103,0,3,0,3,0,5,2,0,2,1,12,13,2,2,1,5,8,4,94.0,10402,7,0.0,3,4,1226,5,1,1226,4,6,0,2,3,3,198900,36,2,1,1,1.0
104,4,4,3,3,0,9,2,0,0,1,11,12,1,2,5,5,8,4,62.5,7758,7,600.0,3,3,1040,5,1,1818,3,7,3,1,1,3,169500,184,2,76,57,56.0
105,5,1,3,3,4,21,2,0,5,3,12,13,1,2,1,5,8,4,75.0,9375,8,768.0,4,5,1053,5,1,1992,4,9,4,2,2,3,250000,185,3,5,4,5.0
106,1,4,3,3,4,17,2,0,2,4,12,13,2,0,5,1,8,4,60.0,10800,4,0.0,3,2,641,4,1,1047,3,6,0,1,1,2,100000,0,1,122,12,53.0
107,0,4,3,3,4,17,2,0,2,1,12,13,2,1,5,5,8,5,50.0,6000,5,0.0,3,3,789,5,1,789,3,5,0,1,1,3,115000,0,1,60,58,60.0
108,4,4,3,3,0,9,0,0,0,1,5,5,2,1,6,3,8,4,85.0,8500,5,0.0,3,3,793,3,0,1517,2,7,0,0,0,0,115000,144,2,88,2,0.0
109,0,3,0,3,4,14,2,0,2,3,9,10,1,1,1,5,0,4,105.0,11751,6,480.0,3,4,1844,5,1,1844,3,7,3,2,2,3,190000,122,2,33,33,33.0
110,4,3,3,3,4,7,2,0,0,1,13,14,2,1,1,5,8,4,75.0,9525,6,0.0,3,3,994,4,1,1855,3,7,0,1,1,3,136900,182,2,52,34,52.0
111,8,3,0,3,4,8,2,0,7,1,12,13,2,2,3,5,8,4,79.87755102040816,7750,7,0.0,3,4,384,5,1,1430,3,7,3,3,2,3,180000,180,3,10,10,10.0
112,5,3,3,3,4,5,2,0,5,1,12,13,3,2,3,5,6,5,77.0,9965,7,220.0,4,5,1264,5,1,2696,5,10,4,3,3,3,383970,472,4,0,0,0.0
113,0,3,3,0,0,6,2,0,2,3,13,14,1,1,2,5,0,0,71.8048780487805,21000,6,184.0,3,4,1809,3,1,2259,4,7,4,1,2,3,217000,478,3,54,54,54.0
114,6,3,0,3,4,6,2,0,5,2,13,14,2,1,5,5,8,4,61.0,7259,6,0.0,3,3,1028,5,1,2320,4,9,3,1,1,3,259500,224,4,62,5,62.0
115,12,1,3,3,0,21,2,4,5,1,8,8,1,2,5,5,8,4,34.0,3230,6,1129.0,3,4,729,4,1,1458,3,5,2,1,2,3,176000,32,3,8,8,8.0
116,0,3,3,3,4,19,2,0,2,1,13,14,1,1,1,5,8,4,74.4375,11616,5,116.0,3,3,1092,3,1,1092,3,6,1,1,1,3,139000,164,2,47,47,47.0
117,0,3,3,3,0,7,2,0,2,1,12,13,2,2,1,5,6,5,74.0,8536,5,0.0,3,4,1125,4,1,1125,3,5,0,1,2,3,155000,144,2,1,0,0.0
118,5,3,3,3,0,20,2,0,5,3,9,10,2,2,1,5,8,4,90.0,12376,7,0.0,3,4,1673,4,1,3222,4,11,3,1,3,3,320000,367,4,20,20,20.0
119,5,3,3,3,4,5,2,0,5,1,12,13,2,2,1,5,6,5,65.0,8461,6,0.0,4,4,728,5,1,1456,4,8,4,3,2,3,163990,24,3,1,0,1.0
120,8,3,0,2,1,4,2,0,7,0,9,10,2,1,1,5,8,4,83.46153846153847,21453,6,0.0,3,3,938,5,1,988,3,4,3,1,2,3,180000,260,2,37,37,37.0
121,4,4,3,3,4,9,2,0,0,1,0,0,2,2,5,5,8,4,50.0,6060,4,0.0,3,3,732,4,1,1123,3,4,0,1,1,3,100000,140,1,68,57,28.0
122,0,3,3,3,0,12,2,0,2,3,8,8,1,1,1,5,8,4,75.0,9464,6,135.0,3,3,1080,4,1,1080,3,5,0,1,1,3,136000,130,1,50,50,50.0
123,11,3,3,3,4,20,2,4,2,1,9,10,2,2,1,5,8,4,55.0,7892,6,0.0,4,4,1199,5,1,1199,4,5,0,2,2,3,153900,63,2,15,15,15.0
124,0,3,0,3,1,14,2,0,2,1,6,6,2,1,1,5,8,4,48.0,17043,6,0.0,3,4,1362,3,1,1586,3,7,3,1,2,3,181000,192,2,30,11,30.0
125,14,4,3,3,4,9,2,1,0,1,13,14,2,1,6,3,8,4,60.0,6780,6,0.0,3,3,520,4,0,754,3,5,0,0,0,0,84500,53,2,71,24,0.0
126,11,3,0,3,4,13,2,4,2,1,9,10,2,1,1,5,8,4,32.285714285714285,4928,6,0.0,3,4,1078,3,1,958,3,5,3,2,2,3,128000,205,2,31,31,30.0
127,3,4,0,0,4,17,1,0,1,1,14,14,2,0,6,3,8,4,55.0,4388,5,0.0,3,3,672,5,1,840,3,5,3,0,0,0,87000,0,1,77,57,0.0
128,5,3,3,3,4,12,4,0,5,1,12,13,1,1,1,5,8,4,69.0,7590,6,266.0,3,3,660,3,1,1348,3,6,2,2,2,3,155000,296,2,40,40,40.0
129,0,3,3,3,4,12,2,0,2,1,9,10,1,1,0,5,8,0,69.0,8973,5,85.0,3,3,1008,3,1,1053,5,6,0,2,2,3,150000,260,3,48,15,8.0
130,5,3,3,3,0,12,2,0,5,1,8,8,1,1,1,5,8,4,88.0,14200,7,309.0,3,3,924,5,1,2157,4,8,4,3,2,3,226000,171,3,40,40,40.0
131,5,3,0,3,0,8,2,0,5,1,12,13,1,2,3,5,8,4,79.87755102040816,12224,6,40.0,4,4,992,5,1,2054,4,7,3,2,2,3,244000,72,4,9,9,9.0
132,0,3,3,3,0,12,2,0,2,1,8,8,2,1,5,5,8,4,75.0,7388,5,0.0,3,3,1063,4,1,1327,4,7,0,1,2,3,150750,0,2,48,5,33.0
133,0,3,0,3,4,23,2,0,2,1,12,13,1,2,1,5,8,4,80.13333333333334,6853,8,136.0,4,5,1267,5,1,1296,4,6,0,3,2,3,220000,217,3,8,7,8.0
134,0,3,0,3,4,19,2,0,2,1,9,10,2,1,1,5,8,4,78.0,10335,5,0.0,3,3,1461,4,1,1721,3,7,3,2,2,3,180000,276,3,38,13,38.0
135,0,3,3,3,4,14,2,0,2,3,9,10,1,2,1,5,8,4,80.0,10400,7,288.0,3,3,1304,4,1,1682,3,7,4,1,2,3,174000,98,2,38,38,38.0
136,0,3,0,3,0,12,2,0,2,1,8,8,1,1,1,5,8,4,76.46236559139786,10355,5,196.0,3,3,1214,3,1,1214,3,5,2,2,1,3,143000,111,2,40,40,40.0
137,10,3,3,3,4,11,2,2,2,1,12,13,1,1,0,5,8,3,82.0,11070,7,70.0,3,3,1907,4,1,1959,3,9,0,1,3,3,171000,0,3,18,17,17.0
138,5,3,0,3,4,5,2,0,5,1,12,13,1,2,1,5,8,4,73.0,9066,8,320.0,4,4,1004,5,1,1852,4,7,3,3,3,3,230000,330,3,9,8,9.0
139,5,3,0,3,4,5,2,0,5,1,12,13,2,2,1,5,8,4,65.0,15426,6,0.0,3,4,928,5,1,1764,4,7,0,2,2,3,231500,375,4,12,12,12.0
140,0,3,3,3,2,12,2,0,2,1,6,6,2,1,6,3,4,4,70.0,10500,4,0.0,3,3,864,3,1,864,3,5,1,0,0,0,115000,0,1,39,39,0.0
141,0,3,3,3,4,5,2,0,2,1,12,13,2,2,1,5,8,4,78.0,11645,7,0.0,4,4,1734,5,1,1734,4,7,0,3,2,3,260000,184,3,1,1,1.0
142,4,3,3,3,0,12,0,0,0,1,3,14,2,1,5,5,8,4,71.0,8520,5,0.0,3,3,910,2,1,1385,3,6,0,1,2,3,166000,0,2,58,58,10.0
143,0,3,0,3,4,5,2,0,2,1,12,13,1,2,1,5,8,4,78.0,10335,7,183.0,4,4,1490,5,1,1501,4,6,0,2,2,3,204000,173,3,10,10,10.0
144,10,4,3,3,4,19,5,2,2,1,6,6,1,1,5,5,4,0,70.0,9100,5,336.0,3,3,1728,3,1,1728,3,10,0,1,2,3,125000,0,3,43,43,43.0
145,12,4,3,3,4,7,2,3,5,1,12,13,3,2,5,5,8,4,24.0,2522,6,50.0,4,4,970,5,1,1709,4,7,0,1,2,3,130000,40,2,2,0,2.0
