,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
10,20,RL,70.0,11200,1,0.0,4,1,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3.0,3.0,1.0,3.0,906,1.0,0,134,1040,2,5,1,4.0,1040,0,0,1040,1,0,1,0,3,1,3,5,8,0,0.0,1.0,1965.0,1.0,1,384,3.0,3.0,3,0,0,0,0,0,0,0.0,0.0,0.0,0,2,2008,WD,Normal,129500
11,60,RL,85.0,11924,1,0.0,3,1,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,5,3,PConc,5.0,3.0,1.0,6.0,998,1.0,0,177,1175,2,5,1,4.0,1182,1142,0,2324,1,0,3,0,4,1,5,11,8,2,4.0,2.0,2005.0,3.0,3,736,3.0,3.0,3,147,21,0,0,0,0,0.0,0.0,0.0,0,7,2006,New,Partial,345000
12,20,RL,,12968,1,0.0,2,1,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0.0,3,3,CBlock,3.0,3.0,1.0,5.0,737,1.0,0,175,912,2,3,1,4.0,912,0,0,912,1,0,1,0,2,1,3,4,8,0,0.0,1.0,1962.0,1.0,1,352,3.0,3.0,3,140,0,0,0,176,0,0.0,0.0,0.0,0,9,2008,WD,Normal,144000
13,20,RL,91.0,10652,1,0.0,3,1,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,4,3,PConc,4.0,3.0,3.0,1.0,0,1.0,0,1494,1494,2,5,1,4.0,1494,0,0,1494,0,0,2,0,3,1,4,7,8,1,4.0,2.0,2006.0,2.0,3,840,3.0,3.0,3,160,33,0,0,0,0,0.0,0.0,0.0,0,8,2007,New,Partial,279500
14,20,RL,,10920,1,0.0,3,1,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,3,3,CBlock,3.0,3.0,1.0,4.0,733,1.0,0,520,1253,2,3,1,4.0,1253,0,0,1253,1,0,1,1,2,1,3,5,8,1,2.0,2.0,1960.0,2.0,1,352,3.0,3.0,3,0,213,176,0,0,0,0.0,2.0,0.0,0,5,2008,WD,Normal,157000
15,45,RM,51.0,6120,1,0.0,4,1,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3.0,3.0,1.0,1.0,0,1.0,0,832,832,2,5,1,3.0,854,0,0,854,0,0,1,0,2,1,3,5,8,0,0.0,1.0,1991.0,1.0,2,576,3.0,3.0,3,48,112,0,0,0,0,0.0,2.0,0.0,0,7,2007,WD,Normal,132000
16,20,RL,,11241,1,0.0,3,1,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,3,3,CBlock,3.0,3.0,1.0,5.0,578,1.0,0,426,1004,2,5,1,4.0,1004,0,0,1004,1,0,1,0,2,1,3,5,8,1,3.0,2.0,1970.0,3.0,2,480,3.0,3.0,3,0,0,0,0,0,0,0.0,0.0,1.0,700,3,2010,WD,Normal,149000
17,90,RL,72.0,10791,1,0.0,4,1,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,Slab,0.0,0.0,0.0,0.0,0,0.0,0,0,0,2,3,1,4.0,1296,0,0,1296,0,0,2,0,2,2,3,6,8,0,0.0,1.0,1967.0,1.0,2,516,3.0,3.0,3,0,0,0,0,0,0,0.0,0.0,1.0,500,10,2006,WD,Normal,90000
18,20,RL,66.0,13695,1,0.0,4,1,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,3.0,3.0,1.0,6.0,646,1.0,0,468,1114,2,5,1,4.0,1114,0,0,1114,1,0,1,1,3,1,4,6,8,0,0.0,1.0,2004.0,1.0,2,576,3.0,3.0,3,0,102,0,0,0,0,0.0,0.0,0.0,0,6,2008,WD,Normal,159000
19,20,RL,70.0,7560,1,0.0,4,1,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0.0,3,3,CBlock,3.0,3.0,1.0,2.0,504,1.0,0,525,1029,2,3,1,4.0,1339,0,0,1339,0,0,1,0,3,1,3,6,7,0,0.0,2.0,1958.0,1.0,1,294,3.0,3.0,3,0,0,0,0,0,0,0.0,1.0,0.0,0,5,2009,COD,Abnorml,139000
20,60,RL,101.0,14215,1,0.0,3,1,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,4,3,PConc,5.0,3.0,3.0,1.0,0,1.0,0,1158,1158,2,5,1,4.0,1158,1218,0,2376,0,0,3,1,4,1,4,9,8,1,4.0,2.0,2005.0,2.0,3,853,3.0,3.0,3,240,154,0,0,0,0,0.0,0.0,0.0,0,11,2006,New,Partial,325300
21,45,RM,57.0,7449,1,1.0,4,1,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,PConc,3.0,3.0,1.0,1.0,0,1.0,0,637,637,2,5,1,2.0,1108,0,0,1108,0,0,1,0,3,1,4,6,8,1,4.0,2.0,1930.0,1.0,1,280,3.0,3.0,1,0,0,205,0,0,0,0.0,2.0,0.0,0,6,2007,WD,Normal,139400
22,20,RL,75.0,9742,1,0.0,4,1,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,4,3,PConc,4.0,3.0,1.0,1.0,0,1.0,0,1777,1777,2,5,1,4.0,1795,0,0,1795,0,0,2,0,3,1,4,7,8,1,4.0,2.0,2002.0,2.0,2,534,3.0,3.0,3,171,159,0,0,0,0,0.0,0.0,0.0,0,9,2008,WD,Normal,230000
23,120,RM,44.0,4224,1,0.0,4,1,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,3,PConc,4.0,3.0,1.0,6.0,840,1.0,0,200,1040,2,3,1,4.0,1060,0,0,1060,1,0,1,0,3,1,3,6,8,1,3.0,2.0,1976.0,1.0,2,572,3.0,3.0,3,100,110,0,0,0,0,0.0,0.0,0.0,0,6,2007,WD,Normal,129900
24,20,RL,,8246,1,0.0,3,1,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,None,0.0,3,4,CBlock,3.0,3.0,2.0,3.0,188,5.0,668,204,1060,2,5,1,4.0,1060,0,0,1060,1,0,1,0,3,1,4,6,8,1,3.0,2.0,1968.0,1.0,1,270,3.0,3.0,3,406,90,0,0,0,0,0.0,1.0,0.0,0,5,2010,WD,Normal,154000
25,20,RL,110.0,14230,1,0.0,4,1,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,4,3,PConc,4.0,3.0,1.0,1.0,0,1.0,0,1566,1566,2,5,1,4.0,1600,0,0,1600,0,0,2,0,3,1,4,7,8,1,4.0,2.0,2007.0,2.0,3,890,3.0,3.0,3,0,56,0,0,0,0,0.0,0.0,0.0,0,7,2009,WD,Normal,256300
26,20,RL,60.0,7200,1,0.0,4,1,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3.0,3.0,2.0,4.0,234,3.0,486,180,900,2,3,1,4.0,900,0,0,900,0,1,1,0,3,1,4,5,8,0,0.0,1.0,2005.0,1.0,2,576,3.0,3.0,3,222,32,0,0,0,0,0.0,0.0,0.0,0,5,2010,WD,Normal,134800
27,20,RL,98.0,11478,1,0.0,4,1,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,4,3,PConc,5.0,3.0,1.0,6.0,1218,1.0,0,486,1704,2,5,1,4.0,1704,0,0,1704,1,0,2,0,3,1,4,7,8,1,4.0,2.0,2008.0,2.0,3,772,3.0,3.0,3,0,50,0,0,0,0,0.0,0.0,0.0,0,5,2010,WD,Normal,306000
28,20,RL,47.0,16321,1,0.0,3,1,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3.0,3.0,4.0,4.0,1277,1.0,0,207,1484,2,3,1,4.0,1600,0,0,1600,1,0,1,0,2,1,3,6,8,2,4.0,2.0,1957.0,2.0,1,319,3.0,3.0,3,288,258,0,0,0,0,0.0,0.0,0.0,0,12,2006,WD,Normal,207500
29,30,RM,60.0,6324,1,0.0,3,1,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3.0,3.0,1.0,1.0,0,1.0,0,520,520,2,2,0,4.0,520,0,0,520,0,0,1,0,1,1,2,4,8,0,0.0,1.0,1920.0,1.0,1,240,2.0,3.0,3,49,0,87,0,0,0,0.0,0.0,0.0,0,5,2008,WD,Normal,68500
30,70,C (all),50.0,8500,1,2.0,4,1,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,3,2,BrkTil,3.0,3.0,1.0,1.0,0,1.0,0,649,649,2,3,0,4.0,649,668,0,1317,0,0,1,0,3,1,3,6,8,0,0.0,1.0,1920.0,1.0,1,250,3.0,2.0,1,0,54,172,0,0,0,0.0,1.0,0.0,0,7,2008,WD,Normal,40000
31,20,RL,,8544,1,0.0,3,1,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3.0,3.0,1.0,1.0,0,1.0,0,1228,1228,2,4,1,4.0,1228,0,0,1228,0,0,1,1,3,1,4,6,8,0,0.0,2.0,1966.0,1.0,1,271,3.0,3.0,3,0,65,0,0,0,0,0.0,1.0,0.0,0,6,2008,WD,Normal,149350
32,20,RL,85.0,11049,1,0.0,4,1,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,5.0,3.0,3.0,1.0,0,1.0,0,1234,1234,2,5,1,4.0,1234,0,0,1234,0,0,2,0,3,1,4,7,8,0,0.0,2.0,2007.0,2.0,2,484,3.0,3.0,3,0,30,0,0,0,0,0.0,0.0,0.0,0,1,2008,WD,Normal,179900
33,20,RL,70.0,10552,1,0.0,3,1,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,None,0.0,3,3,CBlock,3.0,3.0,1.0,3.0,1018,1.0,0,380,1398,2,4,1,4.0,1700,0,0,1700,0,1,1,1,4,1,4,6,8,1,4.0,2.0,1959.0,2.0,2,447,3.0,3.0,3,0,38,0,0,0,0,0.0,0.0,0.0,0,4,2010,WD,Normal,165500
34,120,RL,60.0,7313,1,0.0,4,1,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,5,3,PConc,5.0,3.0,1.0,6.0,1153,1.0,0,408,1561,2,5,1,4.0,1561,0,0,1561,1,0,2,0,2,1,5,6,8,1,4.0,2.0,2005.0,3.0,2,556,3.0,3.0,3,203,47,0,0,0,0,0.0,0.0,0.0,0,8,2007,WD,Normal,277500
35,60,RL,108.0,13418,1,0.0,4,1,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,4,3,PConc,5.0,3.0,3.0,1.0,0,1.0,0,1117,1117,2,5,1,4.0,1132,1320,0,2452,0,0,3,1,4,1,4,9,8,1,4.0,2.0,2004.0,3.0,3,691,3.0,3.0,3,113,32,0,0,0,0,0.0,0.0,0.0,0,9,2006,WD,Normal,309000
36,20,RL,112.0,10859,1,0.0,4,1,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4.0,3.0,1.0,1.0,0,1.0,0,1097,1097,2,5,1,4.0,1097,0,0,1097,0,0,1,1,3,1,3,6,8,0,0.0,2.0,1995.0,1.0,2,672,3.0,3.0,3,392,64,0,0,0,0,0.0,0.0,0.0,0,6,2009,WD,Normal,145000
37,20,RL,74.0,8532,1,0.0,4,1,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,3,3,CBlock,3.0,3.0,1.0,3.0,1213,1.0,0,84,1297,2,4,1,4.0,1297,0,0,1297,0,1,1,0,3,1,3,5,8,1,3.0,2.0,1954.0,3.0,2,498,3.0,3.0,3,0,0,0,0,0,0,0.0,0.0,0.0,0,10,2009,WD,Normal,153000
38,20,RL,68.0,7922,1,0.0,4,1,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3.0,3.0,1.0,6.0,731,1.0,0,326,1057,2,3,1,4.0,1057,0,0,1057,1,0,1,0,3,1,4,5,8,0,0.0,1.0,1953.0,1.0,1,246,3.0,3.0,3,0,52,0,0,0,0,0.0,0.0,0.0,0,1,2010,WD,Abnorml,109000
39,90,RL,65.0,6040,1,0.0,4,1,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,None,0.0,3,3,PConc,0.0,0.0,0.0,0.0,0,0.0,0,0,0,2,3,0,1.0,1152,0,0,1152,0,0,2,0,2,2,2,6,8,0,0.0,0.0,,0.0,0,0,0.0,0.0,1,0,0,0,0,0,0,0.0,0.0,0.0,0,6,2008,WD,AdjLand,82000
40,20,RL,84.0,8658,1,0.0,4,1,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,3,3,CBlock,3.0,3.0,1.0,3.0,643,1.0,0,445,1088,2,5,1,4.0,1324,0,0,1324,0,0,2,0,3,1,3,6,8,1,3.0,2.0,1965.0,2.0,2,440,3.0,3.0,3,0,138,0,0,0,0,0.0,2.0,0.0,0,12,2006,WD,Abnorml,160000
41,20,RL,115.0,16905,1,0.0,4,1,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3.0,3.0,4.0,4.0,967,1.0,0,383,1350,2,4,1,4.0,1328,0,0,1328,0,1,1,1,2,1,3,5,8,2,4.0,2.0,1959.0,2.0,1,308,3.0,3.0,2,0,104,0,0,0,0,0.0,0.0,0.0,0,7,2007,WD,Normal,170000
42,85,RL,,9180,1,0.0,3,1,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,4.0,3.0,3.0,5.0,747,2.0,93,0,840,2,4,1,4.0,884,0,0,884,1,0,1,0,2,1,4,5,8,0,0.0,2.0,1983.0,2.0,2,504,3.0,4.0,3,240,0,0,0,0,0,0.0,1.0,0.0,0,12,2007,WD,Normal,144000
43,20,RL,,9200,1,0.0,3,1,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,4.0,3.0,3.0,2.0,280,4.0,491,167,938,2,3,1,4.0,938,0,0,938,1,0,1,0,3,1,3,5,8,0,0.0,1.0,1977.0,1.0,1,308,3.0,3.0,3,145,0,0,0,0,0,0.0,1.0,0.0,0,7,2008,WD,Normal,130250
44,20,RL,70.0,7945,1,0.0,4,1,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,3,3,CBlock,3.0,3.0,1.0,5.0,179,4.0,506,465,1150,2,5,1,3.0,1150,0,0,1150,1,0,1,0,3,1,3,6,8,0,0.0,2.0,1959.0,2.0,1,300,3.0,3.0,3,0,0,0,0,0,0,0.0,0.0,0.0,0,5,2006,WD,Normal,141000
45,120,RL,61.0,7658,1,0.0,4,1,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,5,3,PConc,5.0,3.0,1.0,6.0,456,1.0,0,1296,1752,2,5,1,4.0,1752,0,0,1752,1,0,2,0,2,1,5,6,8,1,4.0,2.0,2005.0,2.0,2,576,3.0,3.0,3,196,82,0,0,0,0,0.0,0.0,0.0,0,2,2010,WD,Normal,319900
46,50,RL,48.0,12822,1,0.0,3,1,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,5.0,3.0,1.0,6.0,1351,1.0,0,83,1434,2,5,1,4.0,1518,631,0,2149,1,0,1,1,1,1,4,6,8,1,5.0,2.0,2003.0,2.0,2,670,3.0,3.0,3,168,43,0,0,198,0,0.0,0.0,0.0,0,8,2009,WD,Abnorml,239686
47,20,FV,84.0,11096,1,0.0,4,1,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4.0,3.0,3.0,6.0,24,1.0,0,1632,1656,2,5,1,4.0,1656,0,0,1656,0,0,2,0,3,1,4,7,8,0,0.0,2.0,2006.0,2.0,3,826,3.0,3.0,3,0,146,0,0,0,0,0.0,0.0,0.0,0,7,2007,WD,Normal,249700
48,190,RM,33.0,4456,1,0.0,4,1,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,4,5,1920,2008,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3.0,3.0,1.0,1.0,0,1.0,0,736,736,2,4,1,4.0,736,716,0,1452,0,0,2,0,2,3,3,8,8,0,0.0,0.0,,0.0,0,0,0.0,0.0,1,0,0,102,0,0,0,0.0,0.0,0.0,0,6,2009,New,Partial,113000
49,20,RL,66.0,7742,1,0.0,4,1,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,7,1966,1966,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3.0,3.0,1.0,4.0,763,1.0,0,192,955,2,5,1,4.0,955,0,0,955,1,0,1,0,3,1,3,6,8,0,0.0,2.0,1966.0,1.0,1,386,3.0,3.0,3,0,0,0,0,0,0,0.0,1.0,0.0,0,1,2007,WD,Normal,127000
50,60,RL,,13869,1,0.0,2,1,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,1997,1997,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4.0,3.0,3.0,6.0,182,1.0,0,612,794,2,4,1,4.0,794,676,0,1470,0,1,2,0,3,1,3,6,8,0,0.0,2.0,1997.0,3.0,2,388,3.0,3.0,3,0,75,0,0,0,0,0.0,0.0,0.0,0,7,2007,WD,Normal,177000
