,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,Foundation,BsmtQual,TotalBsmtSF,HeatingQC,CentralAir,GrLivArea,KitchenQual,TotRmsAbvGrd,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageQual,GarageCond,SaleType,SaleCondition,SalePrice,Total_OutdoorSF,Baths,Age,AgeRemodAdd,AgeGarage
15,45,RM,51.0,6120,Reg,Lvl,Corner,BrkSide,Norm,1Fam,1.5Unf,7,Gable,Wd Sdng,Wd Sdng,None,0.0,3,BrkTil,3,832,5,1,854,3,5,0,Detchd,1,2,3,TA,WD,Normal,132000,160,1,78,6,16.0
16,20,RL,76.46236559139786,11241,IR1,Lvl,CulDSac,NAmes,Norm,1Fam,1Story,6,Gable,Wd Sdng,Wd Sdng,BrkFace,180.0,3,CBlock,3,1004,5,1,1004,3,5,3,Attchd,3,2,3,TA,WD,Normal,149000,0,2,40,40,40.0
17,90,RL,72.0,10791,Reg,Lvl,Inside,Sawyer,Norm,Duplex,1Story,4,Gable,MetalSd,MetalSd,None,0.0,3,Slab,0,0,3,1,1296,3,6,0,CarPort,1,2,3,TA,WD,Normal,90000,0,2,39,39,39.0
18,20,RL,66.0,13695,Reg,Lvl,Inside,SawyerW,RRAe,1Fam,1Story,5,Gable,VinylSd,VinylSd,None,0.0,3,PConc,3,1114,5,1,1114,4,6,0,Detchd,1,2,3,TA,WD,Normal,159000,102,3,4,4,4.0
19,20,RL,70.0,7560,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,Hip,BrkFace,Plywood,None,0.0,3,CBlock,3,1029,3,1,1339,3,6,0,Attchd,1,1,3,TA,COD,Abnorml,139000,0,1,51,44,51.0
20,60,RL,101.0,14215,IR1,Lvl,Corner,NridgHt,Norm,1Fam,2Story,8,Gable,VinylSd,VinylSd,BrkFace,380.0,4,PConc,5,1158,5,1,2376,4,9,4,BuiltIn,2,3,3,TA,New,Partial,325300,394,4,1,0,1.0
21,45,RM,57.0,7449,Reg,Bnk,Inside,IDOTRR,Norm,1Fam,1.5Unf,7,Gable,Wd Sdng,Wd Sdng,None,0.0,3,PConc,3,637,5,1,1108,4,6,4,Attchd,1,1,3,TA,WD,Normal,139400,205,1,77,57,77.0
22,20,RL,75.0,9742,Reg,Lvl,Inside,CollgCr,Norm,1Fam,1Story,8,Hip,VinylSd,VinylSd,BrkFace,281.0,4,PConc,4,1777,5,1,1795,4,7,4,Attchd,2,2,3,TA,WD,Normal,230000,330,2,6,6,6.0
23,120,RM,44.0,4224,Reg,Lvl,Inside,MeadowV,Norm,TwnhsE,1Story,5,Gable,CemntBd,CmentBd,None,0.0,3,PConc,4,1040,3,1,1060,3,6,3,Attchd,1,2,3,TA,WD,Normal,129900,210,2,31,31,31.0
24,20,RL,74.4375,8246,IR1,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,Gable,Plywood,Plywood,None,0.0,3,CBlock,3,1060,5,1,1060,4,6,3,Attchd,1,1,3,TA,WD,Normal,154000,496,2,42,9,42.0
25,20,RL,110.0,14230,Reg,Lvl,Corner,NridgHt,Norm,1Fam,1Story,8,Gable,VinylSd,VinylSd,Stone,640.0,4,PConc,4,1566,5,1,1600,4,7,4,Attchd,2,3,3,TA,WD,Normal,256300,56,2,2,2,2.0
26,20,RL,60.0,7200,Reg,Lvl,Corner,NAmes,Norm,1Fam,1Story,5,Gable,Wd Sdng,Wd Sdng,None,0.0,3,CBlock,3,900,3,1,900,4,5,0,Detchd,1,2,3,TA,WD,Normal,134800,254,2,59,10,5.0
27,20,RL,98.0,11478,Reg,Lvl,Inside,NridgHt,Norm,1Fam,1Story,8,Gable,VinylSd,VinylSd,Stone,200.0,4,PConc,5,1704,5,1,1704,4,7,4,Attchd,2,3,3,TA,WD,Normal,306000,50,3,3,2,2.0
28,20,RL,47.0,16321,IR1,Lvl,CulDSac,NAmes,Norm,1Fam,1Story,5,Gable,MetalSd,MetalSd,None,0.0,3,CBlock,3,1484,3,1,1600,3,6,4,Attchd,2,1,3,TA,WD,Normal,207500,546,2,49,9,49.0
29,30,RM,60.0,6324,IR1,Lvl,Inside,BrkSide,Feedr,1Fam,1Story,4,Gable,MetalSd,MetalSd,None,0.0,3,BrkTil,3,520,2,0,520,2,4,0,Detchd,1,1,2,TA,WD,Normal,68500,136,1,81,58,88.0
30,70,C (all),50.0,8500,Reg,Lvl,Inside,IDOTRR,Feedr,1Fam,2Story,4,Gambrel,BrkFace,BrkFace,None,0.0,3,BrkTil,3,649,3,0,1317,3,6,0,Detchd,1,1,3,Fa,WD,Normal,40000,226,1,88,58,88.0
31,20,RL,74.4375,8544,IR1,Lvl,CulDSac,Sawyer,Norm,1Fam,1Story,5,Gable,HdBoard,HdBoard,None,0.0,3,CBlock,3,1228,4,1,1228,4,6,0,Attchd,1,1,3,TA,WD,Normal,149350,65,2,42,2,42.0
32,20,RL,85.0,11049,Reg,Lvl,Corner,CollgCr,Norm,1Fam,1Story,8,Gable,VinylSd,VinylSd,None,0.0,4,PConc,5,1234,5,1,1234,4,7,0,Attchd,2,2,3,TA,WD,Normal,179900,30,2,1,1,1.0
33,20,RL,70.0,10552,IR1,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,Hip,BrkFace,BrkFace,None,0.0,3,CBlock,3,1398,4,1,1700,4,6,4,Attchd,2,2,3,TA,WD,Normal,165500,38,3,51,51,51.0
34,120,RL,60.0,7313,Reg,Lvl,Inside,NridgHt,Norm,TwnhsE,1Story,9,Hip,MetalSd,MetalSd,BrkFace,246.0,5,PConc,5,1561,5,1,1561,5,6,4,Attchd,3,2,3,TA,WD,Normal,277500,250,3,2,2,2.0
35,60,RL,108.0,13418,Reg,Lvl,Inside,NridgHt,Norm,1Fam,2Story,8,Gable,VinylSd,VinylSd,Stone,132.0,4,PConc,5,1117,5,1,2452,4,9,4,BuiltIn,3,3,3,TA,WD,Normal,309000,145,4,2,1,2.0
36,20,RL,112.0,10859,Reg,Lvl,Corner,CollgCr,Norm,1Fam,1Story,5,Gable,VinylSd,VinylSd,None,0.0,3,PConc,4,1097,5,1,1097,3,6,0,Attchd,1,2,3,TA,WD,Normal,145000,456,2,15,14,14.0
37,20,RL,74.0,8532,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,Hip,Wd Sdng,Wd Sdng,BrkFace,650.0,3,CBlock,3,1297,4,1,1297,3,5,3,Attchd,3,2,3,TA,WD,Normal,153000,0,2,55,19,55.0
38,20,RL,68.0,7922,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,Gable,VinylSd,VinylSd,None,0.0,3,CBlock,3,1057,3,1,1057,4,5,0,Detchd,1,1,3,TA,WD,Abnorml,109000,52,2,57,3,57.0
39,90,RL,65.0,6040,Reg,Lvl,Inside,Edwards,Norm,Duplex,1Story,4,Gable,AsbShng,Plywood,None,0.0,3,PConc,0,0,3,0,1152,2,6,0,NA,0,0,0,None,WD,AdjLand,82000,0,2,53,53,0.0
40,20,RL,84.0,8658,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,6,Gable,Wd Sdng,Wd Sdng,BrkFace,101.0,3,CBlock,3,1088,5,1,1324,3,6,3,Attchd,2,2,3,TA,WD,Abnorml,160000,138,2,41,41,41.0
41,20,RL,115.0,16905,Reg,Lvl,Inside,Timber,Norm,1Fam,1Story,5,Gable,VinylSd,VinylSd,None,0.0,3,CBlock,3,1350,4,1,1328,3,5,4,Attchd,2,1,3,TA,WD,Normal,170000,104,3,48,48,48.0
42,85,RL,71.5,9180,IR1,Lvl,CulDSac,SawyerW,Norm,1Fam,SFoyer,5,Gable,HdBoard,HdBoard,None,0.0,3,CBlock,4,840,4,1,884,4,5,0,Attchd,2,2,3,Gd,WD,Normal,144000,240,2,24,24,24.0
43,20,RL,71.68253968253968,9200,IR1,Lvl,CulDSac,CollgCr,Norm,1Fam,1Story,5,Hip,VinylSd,VinylSd,None,0.0,3,CBlock,4,938,3,1,938,3,5,0,Detchd,1,1,3,TA,WD,Normal,130250,145,2,33,28,31.0
44,20,RL,70.0,7945,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,Gable,BrkFace,Wd Sdng,None,0.0,3,CBlock,3,1150,5,1,1150,3,6,0,Attchd,2,1,3,TA,WD,Normal,141000,0,2,47,47,47.0
45,120,RL,61.0,7658,Reg,Lvl,Inside,NridgHt,Norm,TwnhsE,1Story,9,Hip,MetalSd,MetalSd,BrkFace,412.0,5,PConc,5,1752,5,1,1752,5,6,4,Attchd,2,2,3,TA,WD,Normal,319900,278,3,5,5,5.0
46,50,RL,48.0,12822,IR1,Lvl,CulDSac,Mitchel,Norm,1Fam,1.5Fin,7,Gable,VinylSd,VinylSd,None,0.0,4,PConc,5,1434,5,1,2149,4,6,5,Attchd,2,2,3,TA,WD,Abnorml,239686,409,3,6,6,6.0
47,20,FV,84.0,11096,Reg,Lvl,Inside,Somerst,Norm,1Fam,1Story,8,Gable,VinylSd,VinylSd,None,0.0,4,PConc,4,1656,5,1,1656,4,7,0,Attchd,2,3,3,TA,WD,Normal,249700,146,2,1,1,1.0
48,190,RM,33.0,4456,Reg,Lvl,Inside,OldTown,Norm,2fmCon,2Story,4,Gable,MetalSd,MetalSd,None,0.0,3,BrkTil,3,736,4,1,1452,3,8,0,NA,0,0,0,None,New,Partial,113000,102,2,89,1,0.0
49,20,RL,66.0,7742,Reg,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,Gable,HdBoard,HdBoard,None,0.0,3,CBlock,3,955,5,1,955,3,6,0,Attchd,1,1,3,TA,WD,Normal,127000,0,2,41,41,41.0
50,60,RL,79.87755102040816,13869,IR2,Lvl,Corner,Gilbert,Norm,1Fam,2Story,6,Gable,VinylSd,VinylSd,None,0.0,3,PConc,4,794,4,1,1470,3,6,0,Attchd,3,2,3,TA,WD,Normal,177000,75,3,10,10,10.0
51,50,RM,52.0,6240,Reg,Lvl,Inside,BrkSide,Norm,1Fam,1.5Fin,6,Gable,Wd Sdng,Wd Sdng,None,0.0,3,PConc,3,816,3,1,1176,3,6,4,Detchd,1,2,3,TA,WD,Normal,114500,112,1,72,56,21.0
52,90,RM,110.0,8472,IR2,Bnk,Corner,IDOTRR,RRNn,Duplex,1Story,5,Gable,Wd Sdng,Wd Sdng,None,0.0,2,CBlock,4,816,3,0,816,3,5,0,CarPort,1,2,3,TA,WD,Normal,110000,106,2,47,47,47.0
53,20,RL,68.0,50271,IR1,Low,Inside,Veenker,Norm,1Fam,1Story,9,Gable,WdShing,Wd Shng,None,0.0,4,CBlock,5,1842,4,1,1842,4,5,4,Attchd,3,3,3,TA,WD,Normal,385000,929,3,25,19,25.0
54,80,RL,60.0,7134,Reg,Bnk,Inside,NAmes,Norm,1Fam,SLvl,5,Gable,MetalSd,MetalSd,None,0.0,3,CBlock,3,384,3,1,1360,3,6,3,Detchd,1,2,3,TA,WD,Normal,130000,50,1,52,52,45.0
55,20,RL,100.0,10175,IR1,Lvl,Inside,NAmes,Norm,1Fam,1Story,6,Gable,HdBoard,Plywood,BrkFace,272.0,3,CBlock,3,1425,4,1,1425,3,7,4,Attchd,2,2,3,TA,WD,Normal,180500,407,2,44,44,44.0
56,160,FV,24.0,2645,Reg,Lvl,Inside,Somerst,Norm,Twnhs,2Story,8,Gable,MetalSd,MetalSd,BrkFace,456.0,4,PConc,4,970,5,1,1739,4,7,0,Attchd,3,2,3,TA,WD,Abnorml,172500,115,4,10,9,10.0
57,60,RL,89.0,11645,IR1,Lvl,Corner,CollgCr,Norm,1Fam,2Story,7,Gable,VinylSd,VinylSd,None,0.0,4,PConc,4,860,5,1,1720,4,7,0,Attchd,2,2,3,TA,WD,Normal,196500,70,3,2,2,2.0
58,60,RL,66.0,13682,IR2,HLS,CulDSac,StoneBr,Norm,1Fam,2Story,10,Hip,VinylSd,VinylSd,BrkFace,1031.0,5,PConc,5,1410,5,1,2945,4,10,4,BuiltIn,3,3,3,TA,New,Partial,438780,229,4,0,0,0.0
59,20,RL,60.0,7200,Reg,Bnk,Inside,CollgCr,Norm,1Fam,1Story,5,Gable,HdBoard,HdBoard,None,0.0,3,CBlock,3,780,5,1,780,3,4,0,Detchd,1,1,3,TA,WD,Normal,124900,196,1,36,36,35.0
60,20,RL,63.0,13072,Reg,Lvl,Inside,SawyerW,RRAe,1Fam,1Story,6,Gable,VinylSd,VinylSd,None,0.0,3,PConc,4,1158,5,1,1158,4,5,0,Detchd,1,2,3,TA,New,Partial,158000,50,3,2,2,0.0
61,75,RM,60.0,7200,Reg,Lvl,Inside,IDOTRR,Norm,1Fam,2.5Unf,5,Gable,MetalSd,MetalSd,None,0.0,3,BrkTil,3,530,3,0,1111,2,6,0,Detchd,1,1,3,TA,WD,Normal,101000,144,1,87,11,72.0
62,120,RL,44.0,6442,IR1,Lvl,Inside,NridgHt,Norm,TwnhsE,1Story,8,Gable,VinylSd,VinylSd,Stone,178.0,4,PConc,4,1370,5,1,1370,4,6,4,Attchd,2,2,3,TA,WD,Normal,202500,169,2,1,1,1.0
63,70,RM,50.0,10300,IR1,Bnk,Inside,OldTown,RRAn,1Fam,2Story,7,Gable,Stucco,Stucco,None,0.0,3,BrkTil,3,576,4,1,1710,3,9,0,Detchd,1,2,3,TA,WD,Normal,140000,87,2,89,60,20.0
64,60,RL,71.68253968253968,9375,Reg,Lvl,Inside,CollgCr,Norm,1Fam,2Story,7,Gable,VinylSd,VinylSd,BrkFace,573.0,3,PConc,4,1057,5,1,2034,4,8,0,Attchd,2,2,3,TA,WD,Normal,219500,612,4,12,11,11.0
65,60,RL,76.0,9591,Reg,Lvl,Inside,NridgHt,Norm,1Fam,2Story,8,Gable,VinylSd,VinylSd,BrkFace,344.0,4,PConc,5,1143,5,1,2473,4,9,4,BuiltIn,2,3,3,TA,WD,Normal,317000,343,3,3,2,3.0
66,20,RL,76.46236559139786,19900,Reg,Lvl,Inside,NAmes,PosA,1Fam,1Story,7,Gable,Plywood,Plywood,BrkFace,287.0,3,CBlock,4,1947,3,1,2207,3,7,4,Attchd,2,2,3,TA,WD,Normal,180000,301,3,40,21,40.0
67,20,RL,72.0,10665,IR1,Lvl,Inside,CollgCr,Norm,1Fam,1Story,7,Gable,VinylSd,VinylSd,BrkFace,167.0,4,PConc,4,1453,5,1,1479,4,7,0,Attchd,2,2,3,TA,WD,Normal,226000,173,3,4,4,4.0
68,30,RM,47.0,4608,Reg,Lvl,Corner,OldTown,Artery,1Fam,1Story,4,Gable,MetalSd,MetalSd,None,0.0,3,CBlock,3,747,3,1,747,3,4,0,Attchd,1,1,3,TA,WD,Normal,80000,0,1,65,60,65.0
69,50,RL,81.0,15593,Reg,Lvl,Corner,ClearCr,Norm,1Fam,1.5Fin,7,Gable,BrkFace,AsbShng,None,0.0,4,CBlock,3,1304,3,1,2287,3,7,3,Attchd,3,2,3,TA,WD,Normal,225000,135,2,53,53,53.0
70,20,RL,95.0,13651,IR1,Lvl,Inside,NAmes,Norm,1Fam,1Story,7,Gable,Plywood,Plywood,BrkFace,1115.0,3,CBlock,4,2223,5,1,2223,3,8,4,Attchd,3,2,3,TA,WD,Normal,244000,300,3,34,34,34.0
71,20,RL,69.0,7599,Reg,Lvl,Corner,Mitchel,Norm,1Fam,1Story,4,Gable,HdBoard,Plywood,None,0.0,3,CBlock,3,845,3,1,845,3,4,0,Detchd,1,2,3,TA,WD,Normal,129500,0,2,25,1,20.0
72,60,RL,74.0,10141,IR1,Lvl,Corner,Gilbert,Norm,1Fam,2Story,7,Gable,VinylSd,VinylSd,BrkFace,40.0,3,PConc,4,832,4,1,1718,3,7,3,Attchd,3,2,3,TA,WD,Normal,185000,385,3,11,11,11.0
73,20,RL,85.0,10200,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,Gable,Wd Sdng,Wd Sdng,BrkFace,104.0,3,CBlock,3,1086,4,1,1086,3,6,0,Attchd,1,2,3,TA,WD,Normal,144900,0,2,56,7,21.0
74,50,RM,60.0,5790,Reg,Lvl,Corner,OldTown,Norm,1Fam,2Story,3,Gambrel,VinylSd,VinylSd,None,0.0,4,CBlock,2,840,4,0,1605,3,8,0,Detchd,1,1,3,TA,WD,Normal,107400,202,2,95,60,95.0
75,180,RM,21.0,1596,Reg,Lvl,Inside,MeadowV,Norm,Twnhs,SLvl,4,Gable,CemntBd,CmentBd,None,0.0,3,CBlock,4,462,3,1,988,3,5,0,BuiltIn,1,1,3,TA,WD,Normal,91000,221,2,36,36,36.0
76,20,RL,76.46236559139786,8475,IR1,Lvl,Inside,NAmes,Norm,1Fam,1Story,4,Gable,VinylSd,VinylSd,None,0.0,3,CBlock,3,952,5,1,952,3,4,0,Detchd,1,1,3,TA,WD,Normal,135750,0,1,52,52,52.0
77,50,RM,50.0,8635,Reg,Lvl,Inside,BrkSide,Norm,1Fam,1.5Fin,5,Gable,Wd Sdng,Wd Sdng,None,0.0,3,CBlock,3,672,3,1,1285,3,6,0,Detchd,1,1,3,TA,WD,Normal,127000,0,2,60,7,60.0
78,90,RL,72.0,10778,Reg,Lvl,Inside,Sawyer,Norm,Duplex,1Story,4,Hip,HdBoard,HdBoard,None,0.0,3,CBlock,3,1768,3,0,1768,3,8,0,NA,0,0,0,None,WD,Normal,136500,0,2,42,42,0.0
79,50,RM,60.0,10440,Reg,Lvl,Corner,OldTown,Norm,1Fam,2Story,5,Gable,Wd Sdng,Wd Sdng,None,0.0,3,PConc,3,440,4,1,1230,3,5,0,Detchd,1,2,3,TA,WD,Normal,110000,202,2,99,28,43.0
80,60,RL,100.0,13000,Reg,Lvl,Corner,NAmes,Norm,1Fam,2Story,6,Gable,VinylSd,VinylSd,BrkFace,576.0,3,CBlock,4,896,3,1,2142,4,8,4,Attchd,3,1,3,TA,WD,Normal,193500,324,3,41,41,41.0
81,120,RM,32.0,4500,Reg,Lvl,FR2,Mitchel,Norm,TwnhsE,1Story,6,Hip,VinylSd,VinylSd,BrkFace,443.0,3,PConc,5,1237,5,1,1337,3,5,0,Attchd,3,2,3,TA,WD,Normal,153500,199,3,8,8,8.0
82,20,RL,78.0,10206,Reg,Lvl,Inside,Somerst,Norm,1Fam,1Story,8,Gable,VinylSd,VinylSd,Stone,468.0,3,PConc,4,1563,5,1,1563,4,6,4,Attchd,2,3,3,TA,WD,Normal,245000,243,2,1,1,1.0
83,20,RL,80.0,8892,IR1,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,Gable,MetalSd,MetalSd,BrkCmn,66.0,3,CBlock,3,1065,4,1,1065,3,6,0,Detchd,1,2,3,TA,COD,Normal,126500,74,2,47,47,33.0
84,80,RL,79.87755102040816,8530,IR1,Lvl,Inside,Gilbert,Norm,1Fam,SLvl,7,Gable,HdBoard,HdBoard,BrkFace,22.0,3,PConc,4,384,4,1,1474,3,7,3,BuiltIn,3,2,3,TA,WD,Normal,168500,192,3,14,13,14.0
85,60,RL,121.0,16059,Reg,Lvl,Corner,NoRidge,Norm,1Fam,2Story,8,Hip,HdBoard,HdBoard,BrkFace,284.0,4,CBlock,4,1288,5,1,2417,4,9,3,Attchd,1,2,3,TA,WD,Normal,260000,209,3,15,14,15.0
86,60,RL,122.0,11911,IR2,Lvl,Inside,Gilbert,Norm,1Fam,2Story,6,Gable,VinylSd,VinylSd,None,0.0,4,PConc,4,684,5,1,1560,4,6,4,BuiltIn,3,2,3,TA,WD,Normal,174000,138,3,4,4,4.0
87,160,FV,40.0,3951,Reg,Lvl,Corner,Somerst,Norm,TwnhsE,2Story,6,Gable,VinylSd,VinylSd,Stone,76.0,4,PConc,4,612,5,1,1224,4,4,0,Detchd,2,2,3,TA,New,Partial,164500,234,3,0,0,0.0
88,50,C (all),105.0,8470,IR1,Lvl,Corner,IDOTRR,Feedr,1Fam,1.5Fin,3,Hip,Plywood,Plywood,None,0.0,2,CBlock,3,1013,3,0,1526,2,6,0,NA,0,0,0,None,ConLD,Abnorml,85000,156,1,94,27,0.0
89,20,RL,60.0,8070,Reg,Lvl,Inside,CollgCr,Norm,1Fam,1Story,4,Gable,VinylSd,VinylSd,None,0.0,3,PConc,4,990,5,1,990,3,5,0,NA,0,0,0,None,WD,Normal,123600,0,2,13,12,0.0
90,20,RL,60.0,7200,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,4,Gable,BrkFace,Wd Sdng,None,0.0,3,Slab,0,0,3,1,1040,3,4,0,Detchd,1,2,3,TA,WD,Normal,109900,29,1,56,56,56.0
91,20,RL,85.0,8500,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,Hip,HdBoard,HdBoard,BrkCmn,203.0,3,CBlock,3,1235,3,1,1235,3,6,0,Attchd,1,2,3,TA,WD,Abnorml,98600,0,1,45,45,45.0
92,30,RL,80.0,13360,IR1,HLS,Inside,Crawfor,Norm,1Fam,1Story,5,Gable,Wd Sdng,Wd Sdng,None,0.0,3,BrkTil,4,876,5,1,964,3,5,0,Detchd,1,2,3,TA,WD,Normal,163500,44,2,88,3,88.0
93,190,C (all),60.0,7200,Reg,Lvl,Corner,OldTown,Norm,2fmCon,2.5Unf,6,Hip,MetalSd,MetalSd,None,0.0,3,BrkTil,3,1214,5,0,2291,3,9,4,Detchd,1,2,3,TA,WD,Normal,133900,99,3,97,9,107.0
94,60,RL,69.0,9337,IR1,Lvl,Inside,CollgCr,Norm,1Fam,2Story,6,Gable,VinylSd,VinylSd,None,0.0,3,PConc,4,824,5,1,1786,4,7,0,Attchd,2,2,3,TA,WD,Normal,204750,162,4,10,10,10.0
95,60,RL,79.87755102040816,9765,IR2,Lvl,Corner,Gilbert,Norm,1Fam,2Story,6,Gable,VinylSd,VinylSd,BrkFace,68.0,5,PConc,4,680,4,1,1470,3,6,3,BuiltIn,3,2,3,TA,WD,Normal,185000,295,3,16,16,16.0
96,20,RL,78.0,10264,IR1,Lvl,Inside,CollgCr,Norm,1Fam,1Story,7,Gable,VinylSd,VinylSd,BrkFace,183.0,4,PConc,4,1588,5,1,1588,4,6,0,Attchd,2,2,3,TA,WD,Normal,214000,187,2,7,7,7.0
97,20,RL,73.0,10921,Reg,HLS,Inside,Edwards,Norm,1Fam,1Story,4,Hip,HdBoard,HdBoard,BrkFace,48.0,3,CBlock,3,960,3,1,960,3,6,0,Attchd,3,1,3,TA,WD,Normal,94750,120,2,42,42,42.0
98,30,RL,85.0,10625,Reg,Lvl,Corner,Edwards,Norm,1Fam,1Story,5,Gable,Wd Sdng,Wd Sdng,None,0.0,3,BrkTil,3,458,2,0,835,3,5,0,Basment,1,1,2,TA,COD,Abnorml,83000,77,1,90,60,90.0
99,20,RL,77.0,9320,IR1,Lvl,Inside,NAmes,Norm,1Fam,1Story,4,Gable,Plywood,Plywood,None,0.0,3,CBlock,3,950,2,1,1225,3,6,0,NA,0,0,0,None,WD,Normal,128950,352,3,51,51,0.0
100,20,RL,81.28888888888889,10603,IR1,Lvl,Inside,NWAmes,Norm,1Fam,1Story,6,Gable,Plywood,Plywood,BrkFace,28.0,3,PConc,3,1610,4,1,1610,4,6,3,Attchd,2,2,3,TA,WD,Normal,205000,236,3,33,9,33.0
