,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,TotalBsmtSF,HeatingQC,CentralAir,Electrical,GrLivArea,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageArea,GarageQual,PavedDrive,PoolQC,Fence,MiscVal,SaleType,SaleCondition,SalePrice,LogSalePrice,Baths,Total_OutdoorSF
10,20,RL,70.0,11200,1,0.0,Reg,Lvl,IC2,Gtl,Sawyer,Norm,1T,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3.0,1040.0,5,1,2.0,1040,3,3.0,5,0.0,Detchd,1965.0,1.0,384.0,3.0,3,0.0,0.0,0,WD,Normal,129500.0,11.771436160121729,2.0,0
11,60,RL,85.0,11924,1,0.0,IR1,Lvl,IC2,Gtl,NridgHt,Norm,1T,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,5,3,PConc,5.0,1175.0,5,1,2.0,2324,4,5.0,11,4.0,BuiltIn,2005.0,3.0,736.0,3.0,3,0.0,0.0,0,New,Partial,345000.0,12.751299696013497,4.0,168
12,20,RL,,12968,1,0.0,IR2,Lvl,IC2,Gtl,Sawyer,Norm,1T,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0.0,3,3,CBlock,3.0,912.0,3,1,2.0,912,2,3.0,4,0.0,Detchd,1962.0,1.0,352.0,3.0,3,0.0,0.0,0,WD,Normal,144000.0,11.877568578558138,2.0,316
13,20,RL,91.0,10652,1,0.0,IR1,Lvl,IC2,Gtl,CollgCr,Norm,1T,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,4,3,PConc,4.0,1494.0,5,1,2.0,1494,3,4.0,7,4.0,Attchd,2006.0,2.0,840.0,3.0,3,0.0,0.0,0,New,Partial,279500.0,12.540757571577291,2.0,193
14,20,RL,,10920,1,0.0,IR1,Lvl,IC2,Gtl,NAmes,Norm,1T,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,3,3,CBlock,3.0,1253.0,3,1,2.0,1253,2,3.0,5,2.0,Attchd,1960.0,2.0,352.0,3.0,3,0.0,1.0,0,WD,Normal,157000.0,11.964001084330445,3.0,389
15,45,RM,51.0,6120,1,0.0,Reg,Lvl,IC2,Gtl,BrkSide,Norm,1T,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3.0,832.0,5,1,1.0,854,2,3.0,5,0.0,Detchd,1991.0,1.0,576.0,3.0,3,0.0,1.0,0,WD,Normal,132000.0,11.790557201568507,1.0,160
16,20,RL,,11241,1,0.0,IR1,Lvl,C3,Gtl,NAmes,Norm,1T,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,3,3,CBlock,3.0,1004.0,5,1,2.0,1004,2,3.0,5,3.0,Attchd,1970.0,3.0,480.0,3.0,3,0.0,0.0,700,WD,Normal,149000.0,11.911701584927597,2.0,0
17,90,RL,72.0,10791,1,0.0,Reg,Lvl,IC2,Gtl,Sawyer,Norm,2DT,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,Slab,0.0,0.0,3,1,2.0,1296,2,3.0,6,0.0,CarPort,1967.0,1.0,516.0,3.0,3,0.0,0.0,500,WD,Normal,90000.0,11.407564949312402,2.0,0
18,20,RL,66.0,13695,1,0.0,Reg,Lvl,IC2,Gtl,SawyerW,RRAe,1T,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,3.0,1114.0,5,1,2.0,1114,3,4.0,6,0.0,Detchd,2004.0,1.0,576.0,3.0,3,0.0,0.0,0,WD,Normal,159000.0,11.976659481202368,3.0,102
19,20,RL,70.0,7560,1,0.0,Reg,Lvl,IC2,Gtl,NAmes,Norm,1T,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0.0,3,3,CBlock,3.0,1029.0,3,1,2.0,1339,3,3.0,6,0.0,Attchd,1958.0,1.0,294.0,3.0,3,0.0,1.0,0,COD,Abnorml,139000.0,11.842229212112828,1.0,0
20,60,RL,101.0,14215,1,0.0,IR1,Lvl,IC2,Gtl,NridgHt,Norm,1T,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,4,3,PConc,5.0,1158.0,5,1,2.0,2376,4,4.0,9,4.0,BuiltIn,2005.0,2.0,853.0,3.0,3,0.0,0.0,0,New,Partial,325300.0,12.692503112461443,4.0,394
21,45,RM,57.0,7449,1,1.0,Reg,Bnk,IC2,Gtl,IDOTRR,Norm,1T,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,PConc,3.0,637.0,5,1,1.0,1108,3,4.0,6,4.0,Attchd,1930.0,1.0,280.0,3.0,1,0.0,1.0,0,WD,Normal,139400.0,11.845102777308561,1.0,205
22,20,RL,75.0,9742,1,0.0,Reg,Lvl,IC2,Gtl,CollgCr,Norm,1T,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,4,3,PConc,4.0,1777.0,5,1,2.0,1795,3,4.0,7,4.0,Attchd,2002.0,2.0,534.0,3.0,3,0.0,0.0,0,WD,Normal,230000.0,12.345834587905333,2.0,330
23,120,RM,44.0,4224,1,0.0,Reg,Lvl,IC2,Gtl,MeadowV,Norm,1T,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,3,PConc,4.0,1040.0,3,1,2.0,1060,3,3.0,6,3.0,Attchd,1976.0,1.0,572.0,3.0,3,0.0,0.0,0,WD,Normal,129900.0,11.77452020265869,2.0,210
24,20,RL,,8246,1,0.0,IR1,Lvl,IC2,Gtl,Sawyer,Norm,1T,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,None,0.0,3,4,CBlock,3.0,1060.0,5,1,2.0,1060,3,4.0,6,3.0,Attchd,1968.0,1.0,270.0,3.0,3,0.0,1.0,0,WD,Normal,154000.0,11.944707881395766,2.0,496
25,20,RL,110.0,14230,1,0.0,Reg,Lvl,IC2,Gtl,NridgHt,Norm,1T,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,4,3,PConc,4.0,1566.0,5,1,2.0,1600,3,4.0,7,4.0,Attchd,2007.0,2.0,890.0,3.0,3,0.0,0.0,0,WD,Normal,256300.0,12.454103912352162,2.0,56
26,20,RL,60.0,7200,1,0.0,Reg,Lvl,IC2,Gtl,NAmes,Norm,1T,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3.0,900.0,3,1,2.0,900,3,4.0,5,0.0,Detchd,2005.0,1.0,576.0,3.0,3,0.0,0.0,0,WD,Normal,134800.0,11.811547477460344,2.0,254
27,20,RL,98.0,11478,1,0.0,Reg,Lvl,IC2,Gtl,NridgHt,Norm,1T,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,4,3,PConc,5.0,1704.0,5,1,2.0,1704,3,4.0,7,4.0,Attchd,2008.0,2.0,772.0,3.0,3,0.0,0.0,0,WD,Normal,306000.0,12.631340380934517,3.0,50
28,20,RL,47.0,16321,1,0.0,IR1,Lvl,C3,Gtl,NAmes,Norm,1T,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3.0,1484.0,3,1,2.0,1600,2,3.0,6,4.0,Attchd,1957.0,2.0,319.0,3.0,3,0.0,0.0,0,WD,Normal,207500.0,12.24288661865289,2.0,546
29,30,RM,60.0,6324,1,0.0,IR1,Lvl,IC2,Gtl,BrkSide,Feedr,1T,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3.0,520.0,2,0,2.0,520,1,2.0,4,0.0,Detchd,1920.0,1.0,240.0,2.0,3,0.0,0.0,0,WD,Normal,68500.0,11.134589024250317,1.0,136
30,70,C (all),50.0,8500,1,2.0,Reg,Lvl,IC2,Gtl,IDOTRR,Feedr,1T,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,3,2,BrkTil,3.0,649.0,3,0,2.0,1317,3,3.0,6,0.0,Detchd,1920.0,1.0,250.0,3.0,1,0.0,1.0,0,WD,Normal,40000.0,10.596634733096073,1.0,226
31,20,RL,,8544,1,0.0,IR1,Lvl,C3,Gtl,Sawyer,Norm,1T,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3.0,1228.0,4,1,2.0,1228,3,4.0,6,0.0,Attchd,1966.0,1.0,271.0,3.0,3,0.0,1.0,0,WD,Normal,149350.0,11.914047823644255,2.0,65
32,20,RL,85.0,11049,1,0.0,Reg,Lvl,IC2,Gtl,CollgCr,Norm,1T,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,5.0,1234.0,5,1,2.0,1234,3,4.0,7,0.0,Attchd,2007.0,2.0,484.0,3.0,3,0.0,0.0,0,WD,Normal,179900.0,12.100156419938624,2.0,30
33,20,RL,70.0,10552,1,0.0,IR1,Lvl,IC2,Gtl,NAmes,Norm,1T,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,None,0.0,3,3,CBlock,3.0,1398.0,4,1,2.0,1700,4,4.0,6,4.0,Attchd,1959.0,2.0,447.0,3.0,3,0.0,0.0,0,WD,Normal,165500.0,12.016726473799254,3.0,38
34,120,RL,60.0,7313,1,0.0,Reg,Lvl,IC2,Gtl,NridgHt,Norm,1T,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,5,3,PConc,5.0,1561.0,5,1,2.0,1561,2,5.0,6,4.0,Attchd,2005.0,3.0,556.0,3.0,3,0.0,0.0,0,WD,Normal,277500.0,12.533576212168626,3.0,250
35,60,RL,108.0,13418,1,0.0,Reg,Lvl,IC2,Gtl,NridgHt,Norm,1T,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,4,3,PConc,5.0,1117.0,5,1,2.0,2452,4,4.0,9,4.0,BuiltIn,2004.0,3.0,691.0,3.0,3,0.0,0.0,0,WD,Normal,309000.0,12.641096555879882,4.0,145
36,20,RL,112.0,10859,1,0.0,Reg,Lvl,IC2,Gtl,CollgCr,Norm,1T,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4.0,1097.0,5,1,2.0,1097,3,3.0,6,0.0,Attchd,1995.0,1.0,672.0,3.0,3,0.0,0.0,0,WD,Normal,145000.0,11.884489021402711,2.0,456
37,20,RL,74.0,8532,1,0.0,Reg,Lvl,IC2,Gtl,NAmes,Norm,1T,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,3,3,CBlock,3.0,1297.0,4,1,2.0,1297,3,3.0,5,3.0,Attchd,1954.0,3.0,498.0,3.0,3,0.0,0.0,0,WD,Normal,153000.0,11.938193200374572,2.0,0
38,20,RL,68.0,7922,1,0.0,Reg,Lvl,IC2,Gtl,NAmes,Norm,1T,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3.0,1057.0,3,1,2.0,1057,3,4.0,5,0.0,Detchd,1953.0,1.0,246.0,3.0,3,0.0,0.0,0,WD,Abnorml,109000.0,11.59910316121128,2.0,52
39,90,RL,65.0,6040,1,0.0,Reg,Lvl,IC2,Gtl,Edwards,Norm,2DT,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,None,0.0,3,3,PConc,0.0,0.0,3,0,1.0,1152,2,2.0,6,0.0,NA,,0.0,0.0,0.0,1,0.0,0.0,0,WD,AdjLand,82000.0,11.314474526246391,2.0,0
40,20,RL,84.0,8658,1,0.0,Reg,Lvl,IC2,Gtl,NAmes,Norm,1T,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,3,3,CBlock,3.0,1088.0,5,1,2.0,1324,3,3.0,6,3.0,Attchd,1965.0,2.0,440.0,3.0,3,0.0,1.0,0,WD,Abnorml,160000.0,11.982929094215963,2.0,138
41,20,RL,115.0,16905,1,0.0,Reg,Lvl,IC2,Gtl,Timber,Norm,1T,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3.0,1350.0,4,1,2.0,1328,2,3.0,5,4.0,Attchd,1959.0,2.0,308.0,3.0,2,0.0,0.0,0,WD,Normal,170000.0,12.043553716032399,3.0,104
42,85,RL,,9180,1,0.0,IR1,Lvl,C3,Gtl,SawyerW,Norm,1T,SFoyer,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,4.0,840.0,4,1,2.0,884,2,4.0,5,0.0,Attchd,1983.0,2.0,504.0,3.0,3,0.0,1.0,0,WD,Normal,144000.0,11.877568578558138,2.0,240
43,20,RL,,9200,1,0.0,IR1,Lvl,C3,Gtl,CollgCr,Norm,1T,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,4.0,938.0,3,1,2.0,938,3,3.0,5,0.0,Detchd,1977.0,1.0,308.0,3.0,3,0.0,1.0,0,WD,Normal,130250.0,11.777210959615614,2.0,145
44,20,RL,70.0,7945,1,0.0,Reg,Lvl,IC2,Gtl,NAmes,Norm,1T,1Story,5,6,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,3,3,CBlock,3.0,1150.0,5,1,1.0,1150,3,3.0,6,0.0,Attchd,1959.0,2.0,300.0,3.0,3,0.0,0.0,0,WD,Normal,141000.0,11.856515169360305,2.0,0
45,120,RL,61.0,7658,1,0.0,Reg,Lvl,IC2,Gtl,NridgHt,Norm,1T,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,5,3,PConc,5.0,1752.0,5,1,2.0,1752,2,5.0,6,4.0,Attchd,2005.0,2.0,576.0,3.0,3,0.0,0.0,0,WD,Normal,319900.0,12.675763725937609,3.0,278
46,50,RL,48.0,12822,1,0.0,IR1,Lvl,C3,Gtl,Mitchel,Norm,1T,1.5Fin,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,5.0,1434.0,5,1,2.0,2149,1,4.0,6,5.0,Attchd,2003.0,2.0,670.0,3.0,3,0.0,0.0,0,WD,Abnorml,239686.0,12.387085012375499,3.0,409
47,20,FV,84.0,11096,1,0.0,Reg,Lvl,IC2,Gtl,Somerst,Norm,1T,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4.0,1656.0,5,1,2.0,1656,3,4.0,7,0.0,Attchd,2006.0,2.0,826.0,3.0,3,0.0,0.0,0,WD,Normal,249700.0,12.428015476267865,2.0,146
48,190,RM,33.0,4456,1,0.0,Reg,Lvl,IC2,Gtl,OldTown,Norm,2DT,2Story,4,5,1920,2008,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3.0,736.0,4,1,2.0,1452,2,3.0,8,0.0,NA,,0.0,0.0,0.0,1,0.0,0.0,0,New,Partial,113000.0,11.635143097694478,2.0,102
49,20,RL,66.0,7742,1,0.0,Reg,Lvl,IC2,Gtl,Sawyer,Norm,1T,1Story,5,7,1966,1966,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3.0,955.0,5,1,2.0,955,3,3.0,6,0.0,Attchd,1966.0,1.0,386.0,3.0,3,0.0,1.0,0,WD,Normal,127000.0,11.751942365440728,2.0,0
50,60,RL,,13869,1,0.0,IR2,Lvl,IC2,Gtl,Gilbert,Norm,1T,2Story,6,6,1997,1997,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4.0,794.0,4,1,2.0,1470,3,3.0,6,0.0,Attchd,1997.0,3.0,388.0,3.0,3,0.0,0.0,0,WD,Normal,177000.0,12.083905011555967,3.0,75
51,50,RM,52.0,6240,1,0.0,Reg,Lvl,IC2,Gtl,BrkSide,Norm,1T,1.5Fin,6,6,1934,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,PConc,3.0,816.0,3,1,2.0,1176,3,3.0,6,4.0,Detchd,1985.0,1.0,528.0,3.0,3,0.0,1.0,400,WD,Normal,114500.0,11.648330101976432,1.0,112
52,90,RM,110.0,8472,0,0.0,IR2,Bnk,IC2,MS,IDOTRR,RRNn,2DT,1Story,5,5,1963,1963,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,3,CBlock,4.0,816.0,3,0,2.0,816,2,3.0,5,0.0,CarPort,1963.0,1.0,516.0,3.0,3,0.0,0.0,0,WD,Normal,110000.0,11.608235644774552,2.0,106
53,20,RL,68.0,50271,1,0.0,IR1,Low,IC2,Gtl,Veenker,Norm,1T,1Story,9,5,1981,1987,Gable,WdShngl,WdShing,Wd Shng,None,0.0,4,3,CBlock,5.0,1842.0,4,1,2.0,1842,0,4.0,5,4.0,Attchd,1981.0,3.0,894.0,3.0,3,0.0,0.0,0,WD,Normal,385000.0,12.86099861326992,3.0,929
54,80,RL,60.0,7134,1,0.0,Reg,Bnk,IC2,MS,NAmes,Norm,1T,SLvl,5,5,1955,1955,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3.0,384.0,3,1,2.0,1360,3,3.0,6,3.0,Detchd,1962.0,1.0,572.0,3.0,3,0.0,1.0,0,WD,Normal,130000.0,11.77528972943772,1.0,50
55,20,RL,100.0,10175,1,0.0,IR1,Lvl,IC2,Gtl,NAmes,Norm,1T,1Story,6,5,1964,1964,Gable,CompShg,HdBoard,Plywood,BrkFace,272.0,3,3,CBlock,3.0,1425.0,4,1,2.0,1425,3,3.0,7,4.0,Attchd,1964.0,2.0,576.0,3.0,3,0.0,0.0,0,WD,Normal,180500.0,12.103486056755072,2.0,407
56,160,FV,24.0,2645,1,2.0,Reg,Lvl,IC2,Gtl,Somerst,Norm,2DT,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,4,3,PConc,4.0,970.0,5,1,2.0,1739,3,4.0,7,0.0,Attchd,1999.0,3.0,480.0,3.0,3,0.0,0.0,0,WD,Abnorml,172500.0,12.058152515453552,4.0,115
57,60,RL,89.0,11645,1,0.0,IR1,Lvl,IC2,Gtl,CollgCr,Norm,1T,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4.0,860.0,5,1,2.0,1720,3,4.0,7,0.0,Attchd,2004.0,2.0,565.0,3.0,3,0.0,0.0,0,WD,Normal,196500.0,12.188417710291453,3.0,70
58,60,RL,66.0,13682,1,0.0,IR2,HLS,C3,Gtl,StoneBr,Norm,1T,2Story,10,5,2006,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,1031.0,5,3,PConc,5.0,1410.0,5,1,2.0,2945,3,4.0,10,4.0,BuiltIn,2006.0,3.0,641.0,3.0,3,0.0,0.0,0,New,Partial,438780.0,12.991753427493052,4.0,229
59,20,RL,60.0,7200,1,0.0,Reg,Bnk,IC2,Gtl,CollgCr,Norm,1T,1Story,5,7,1972,1972,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3.0,780.0,5,1,2.0,780,2,3.0,4,0.0,Detchd,1973.0,1.0,352.0,3.0,3,0.0,1.0,0,WD,Normal,124900.0,11.73526869611367,1.0,196
60,20,RL,63.0,13072,1,0.0,Reg,Lvl,IC2,Gtl,SawyerW,RRAe,1T,1Story,6,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4.0,1158.0,5,1,2.0,1158,3,4.0,5,0.0,Detchd,2006.0,1.0,576.0,3.0,3,0.0,0.0,0,New,Partial,158000.0,11.970350312009105,3.0,50
61,75,RM,60.0,7200,1,0.0,Reg,Lvl,IC2,Gtl,IDOTRR,Norm,1T,2.5Unf,5,7,1920,1996,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3.0,530.0,3,0,2.0,1111,3,2.0,6,0.0,Detchd,1935.0,1.0,288.0,3.0,1,0.0,0.0,0,WD,Normal,101000.0,11.522875795823397,1.0,144
62,120,RL,44.0,6442,1,0.0,IR1,Lvl,IC2,Gtl,NridgHt,Norm,1T,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,178.0,4,3,PConc,4.0,1370.0,5,1,2.0,1370,2,4.0,6,4.0,Attchd,2006.0,2.0,484.0,3.0,3,0.0,0.0,0,WD,Normal,202500.0,12.218495165528731,2.0,169
63,70,RM,50.0,10300,1,0.0,IR1,Bnk,IC2,Gtl,OldTown,RRAn,1T,2Story,7,6,1921,1950,Gable,CompShg,Stucco,Stucco,None,0.0,3,3,BrkTil,3.0,576.0,4,1,2.0,1710,3,3.0,9,0.0,Detchd,1990.0,1.0,480.0,3.0,3,0.0,1.0,0,WD,Normal,140000.0,11.84939770159144,2.0,87
64,60,RL,,9375,1,0.0,Reg,Lvl,IC2,Gtl,CollgCr,Norm,1T,2Story,7,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,573.0,3,3,PConc,4.0,1057.0,5,1,2.0,2034,3,4.0,8,0.0,Attchd,1998.0,2.0,645.0,3.0,3,0.0,1.0,0,WD,Normal,219500.0,12.299107511497363,4.0,612
65,60,RL,76.0,9591,1,0.0,Reg,Lvl,IC2,Gtl,NridgHt,Norm,1T,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,344.0,4,3,PConc,5.0,1143.0,5,1,2.0,2473,4,4.0,9,4.0,BuiltIn,2004.0,2.0,852.0,3.0,3,0.0,0.0,0,WD,Normal,317000.0,12.666657052859417,3.0,343
66,20,RL,,19900,1,0.0,Reg,Lvl,IC2,Gtl,NAmes,PosA,1T,1Story,7,5,1970,1989,Gable,CompShg,Plywood,Plywood,BrkFace,287.0,3,3,CBlock,4.0,1947.0,3,1,2.0,2207,3,3.0,7,4.0,Attchd,1970.0,2.0,576.0,3.0,3,0.0,0.0,0,WD,Normal,180000.0,12.100712129872347,3.0,301
67,20,RL,72.0,10665,1,0.0,IR1,Lvl,IC2,Gtl,CollgCr,Norm,1T,1Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,167.0,4,3,PConc,4.0,1453.0,5,1,2.0,1479,3,4.0,7,0.0,Attchd,2003.0,2.0,558.0,3.0,3,0.0,0.0,0,WD,Normal,226000.0,12.328290278254423,3.0,173
